monastery_name,notes,lat,lon,x,y
Seville,,37.373004,-5.970996,-664688.2342,4491227.052
Bordeaux,,44.840997,-0.599004,-66680.8203,5596524.355
Montpellier,,43.614,3.867003,430472.8049,5405900.818
Toulouse,,43.599996,1.438002,160077.6504,5403747.877
Barcelona,,41.357997,2.159001,240338.8919,5065290.411
Genoa,,44.413002,8.883,988851.0367,5529579.237
Cagliari,,39.224997,9.108999,1014009.13,4753951.898
Bari,,41.100003,16.866702,1877592.678,5027103.292
Naples,,40.83336,14.250024,1586305.416,4987793.286
Palermo,,38.121003,13.358997,1487116.744,4596533.609
Bologna,,44.503002,11.333997,1261694.775,5543615.749
Ancona,,43.621002,13.516002,1504594.46,5406977.477
Perugia,,43.112997,12.384999,1378691.782,5329186.989
Rome,,41.879997,12.519999,1393719.913,5143020.492
Bremen,,53.080002,8.857998,986067.8268,6997809.857
Erfurt,,50.976,11.035998,1228521.678,6617049.498
Frankfurt am Main,,50.13,8.668161,964935.2686,6468820.064
Amiens,,49.887999,2.302002,256257.6904,6426901.787
Rouen,,49.431996,1.077003,119891.4255,6348482.516
Paris,,48.881997,2.432997,270839.9871,6254862.421
Orléans, ,47.914002,1.906002,212175.1721,6092559.738
Poitiers,,46.584999,0.340002,37848.8495,5874596.479
Limoges,,45.830997,1.251999,139371.8912,5753307.61
Dijon,,47.318004,5.036004,560605.4009,5994135.774
Clermont-Ferrand,,45.783999,3.090996,344088.1008,5745802.217
Lyon,,45.747,4.854996,540455.6825,5739898.074
Bruges,,51.21,3.220002,358448.983,6658524.695
Hamburg,,53.570997,10.027998,1116311.631,7089323.315
Besançon, ,47.248002,6.018003,669921.0296,5982648.678
Turin,,45.074871,7.666425,853422.5272,5633316.104
Milan,,45.473004,9.189999,1023026.009,5696296.213
Vienna,,48.202119,16.320978,1816842.96,6140546.347
Munich,,48.140973,11.54295,1284955.316,6130339.845
Venice,,45.424773,12.370716,1377101.806,5688643.035
Graz,,47.064996,15.431004,1717771.508,5952689.534
Schwerin,,53.633304,11.416698,1270901.008,7101012.088
